Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
jal_btb.tag_1_0_10__AOI22X0P5H7L_A0_Y_NAND4X0P5H7L_C_Y_XOR2X0P5H7L_B_Y_NAND2BX0P5H7L_AN_Y_OR3X1H7L_B_Y_OA22X1P4H7L_B0,1.2,2.408e-03,0.000e+00,1.695e-09,2.408e-03
icache.resp_data_reg_30__reg_p_D_AO22X0P7H7L_Y,1.2,2.332e-03,0.000e+00,1.507e-09,2.332e-03
icache.s1_ready_NOR3X0P5H7L_B_Y_AND4X0P5H7L_B_Y_AOAI211X1P4H7L_C0_Y_BUFX8H7L_A,1.2,2.311e-03,0.000e+00,5.674e-09,2.311e-03
pred_tag_target_23__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_15__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_27__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_24__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_16__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_26__reg_p_D_AOI211X1P4H7L_Y,1.2,2.305e-03,0.000e+00,7.211e-10,2.305e-03
pred_tag_target_13__reg_p_D_AOI211X1P4H7L_Y,1.2,2.304e-03,0.000e+00,7.211e-10,2.304e-03
pred_tag_target_17__reg_p_D_AOI211X1P4H7L_Y,1.2,2.304e-03,0.000e+00,7.211e-10,2.304e-03
pred_tag_target_28__reg_p_D_AOI211X1P4H7L_Y,1.2,2.303e-03,0.000e+00,7.211e-10,2.303e-03
pred_tag_target_19__reg_p_D_AOI211X1P4H7L_Y,1.2,2.302e-03,0.000e+00,7.211e-10,2.302e-03
pred_tag_target_12__reg_p_D_AOI211X1P4H7L_Y,1.2,2.300e-03,0.000e+00,7.211e-10,2.300e-03
pred_tag_target_11__reg_p_D_AOI211X1P4H7L_Y,1.2,2.300e-03,0.000e+00,7.211e-10,2.300e-03
io_debug_pc[21]_reg_p_D_AOI221X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,2.198e-03,0.000e+00,7.336e-10,2.198e-03
pred_tag_target_4__reg_p_D_AOI211X0P5H7L_Y,1.2,2.139e-03,0.000e+00,6.249e-10,2.139e-03
icache.resp_data_reg_16__reg_p_D_OAI21X0P5H7L_Y_A1_MUX2X3H7L_Y,1.2,2.134e-03,0.000e+00,4.431e-09,2.134e-03
pred_tag_target_10__reg_p_D_AOI211X0P5H7L_Y,1.2,2.106e-03,0.000e+00,6.169e-10,2.106e-03
pred_tag_target_0__reg_p_D_AOI211X0P5H7L_Y,1.2,2.091e-03,0.000e+00,6.148e-10,2.091e-03
pred_tag_taken_reg_p_D_AOI211X0P5H7L_Y,1.2,2.071e-03,0.000e+00,5.661e-10,2.071e-03
io_debug_pc[22]_reg_p_D_AOI221X0P5H7L_Y_B0_OAI21X0P5H7L_Y,1.2,2.071e-03,0.000e+00,7.265e-10,2.071e-03
icache.resp_data_reg_31__reg_p_D_OAI211X1P4H7L_Y_C0_OAI211X1P4H7L_Y,1.2,2.064e-03,0.000e+00,6.905e-10,2.064e-03
icache.s1_valid_NAND2BX0P5H7L_B_Y_NOR3X3H7L_A,1.2,2.055e-03,0.000e+00,9.842e-10,2.055e-03
pred_tag_target_31__reg_p_D_AOI211X0P5H7L_Y,1.2,2.016e-03,0.000e+00,6.002e-10,2.016e-03
pred_tag_target_5__reg_p_D_AOI211X0P5H7L_Y,1.2,2.016e-03,0.000e+00,6.002e-10,2.016e-03
pred_tag_target_9__reg_p_D_AOI211X0P5H7L_Y,1.2,2.016e-03,0.000e+00,6.002e-10,2.016e-03
pred_tag_target_2__reg_p_D_AOI211X0P5H7L_Y,1.2,2.014e-03,0.000e+00,6.002e-10,2.014e-03
io_debug_pc[1]_reg_p_D_OAOI211X0P5H7L_Y,1.2,2.004e-03,0.000e+00,7.160e-10,2.004e-03
io_debug_pc[2]_reg_p_D_OAI21X0P5H7L_Y,1.2,1.997e-03,0.000e+00,7.112e-10,1.997e-03
icache.burst_mode_reg_p_D_OAOI211X1P4H7L_Y,1.2,1.946e-03,0.000e+00,9.195e-10,1.946e-03
icache.resp_data_reg_3__reg_p_D_AO22X0P7H7L_Y,1.2,1.925e-03,0.000e+00,1.450e-09,1.925e-03
icache.resp_data_reg_22__reg_p_D_AO22X0P7H7L_Y,1.2,1.925e-03,0.000e+00,1.450e-09,1.925e-03
icache.resp_data_reg_29__reg_p_D_AO22X0P7H7L_Y,1.2,1.924e-03,0.000e+00,1.450e-09,1.924e-03
icache.resp_data_reg_21__reg_p_D_AO22X0P7H7L_Y,1.2,1.923e-03,0.000e+00,1.450e-09,1.923e-03
icache.resp_data_reg_5__reg_p_D_AO22X0P7H7L_Y,1.2,1.923e-03,0.000e+00,1.450e-09,1.923e-03
icache.resp_data_reg_15__reg_p_D_AO22X0P7H7L_Y,1.2,1.922e-03,0.000e+00,1.450e-09,1.922e-03
icache.resp_data_reg_20__reg_p_D_AO22X0P7H7L_Y,1.2,1.922e-03,0.000e+00,1.450e-09,1.922e-03
io_perf_icache_hit_INVX0P5H7L_Y_A_NAND3X1P4H7L_Y,1.2,1.919e-03,0.000e+00,4.585e-10,1.919e-03
icache.resp_data_reg_9__reg_p_D_AO22X0P7H7L_Y,1.2,1.913e-03,0.000e+00,1.449e-09,1.913e-03
icache.resp_data_reg_27__reg_p_D_AO22X0P7H7L_Y,1.2,1.906e-03,0.000e+00,1.450e-09,1.906e-03
icache.resp_data_reg_28__reg_p_D_AO22X0P7H7L_Y,1.2,1.895e-03,0.000e+00,1.449e-09,1.895e-03
io_debug_pc[26]_reg_p_D_AOAI211X0P5H7L_Y_A1_NAND2X0P5H7L_Y,1.2,1.887e-03,0.000e+00,5.630e-10,1.887e-03
icache.resp_data_reg_13__reg_p_D_AO22X0P7H7L_Y,1.2,1.878e-03,0.000e+00,1.450e-09,1.878e-03
icache.s1_ready_NOR3X0P5H7L_B_Y_AND4X0P5H7L_B_Y_AOAI211X1P4H7L_C0,1.2,1.875e-03,0.000e+00,8.359e-10,1.875e-03
pred_tag_target_6__reg_p_D_AOI211X0P5H7L_Y,1.2,1.845e-03,0.000e+00,5.672e-10,1.845e-03
pred_tag_target_3__reg_p_D_AOI211X0P5H7L_Y,1.2,1.845e-03,0.000e+00,5.672e-10,1.845e-03
pred_tag_target_8__reg_p_D_AOI211X0P5H7L_Y,1.2,1.845e-03,0.000e+00,5.672e-10,1.845e-03
pred_tag_target_7__reg_p_D_AOI211X0P5H7L_Y,1.2,1.845e-03,0.000e+00,5.672e-10,1.845e-03
io_debug_pc[15]_reg_p_D_NOR4X1H7L_Y,1.2,1.818e-03,0.000e+00,3.834e-10,1.818e-03
io_debug_pc[6]_reg_p_D_NOR4X1H7L_Y,1.2,1.809e-03,0.000e+00,3.832e-10,1.809e-03
icache.s1_valid_NAND2BX0P5H7L_B_Y_NOR3X3H7L_A_Y_BUFX7H7L_A,1.2,1.786e-03,0.000e+00,4.996e-09,1.786e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_B0_AOAI211X0P5H7L_Y,1.2,1.740e-03,0.000e+00,6.596e-10,1.740e-03
icache.resp_data_reg_22__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.682e-03,0.000e+00,2.056e-09,1.682e-03
icache.resp_data_reg_30__reg_p_D_AO22X0P7H7L_Y_A1_MUX2X0P5H7L_Y,1.2,1.682e-03,0.000e+00,2.056e-09,1.682e-03
icache.resp_data_reg_29__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.681e-03,0.000e+00,2.056e-09,1.681e-03
icache.resp_data_reg_3__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.681e-03,0.000e+00,2.056e-09,1.681e-03
icache.resp_data_reg_21__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.681e-03,0.000e+00,2.056e-09,1.681e-03
icache.resp_data_reg_15__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.680e-03,0.000e+00,2.056e-09,1.680e-03
icache.resp_data_reg_5__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.679e-03,0.000e+00,2.056e-09,1.679e-03
icache.resp_data_reg_20__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.679e-03,0.000e+00,2.056e-09,1.679e-03
icache.resp_data_reg_9__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.675e-03,0.000e+00,2.056e-09,1.675e-03
icache.resp_data_reg_27__reg_p_D_AO22X0P7H7L_Y_B0_MUX2X0P5H7L_Y,1.2,1.665e-03,0.000e+00,2.056e-09,1.665e-03
