现在指定了镜像文件
文件加载了: /home/abc/ysyx-workbench/am-kernels/benchmarks/microbench/build/microbench-riscv32i-ysyxsoc.bin, size = 29280 bytes
[C++ DUT] step cycle=0
[C++ DUT] step cycle=1
[C++ DUT] step cycle=2
[C++ DUT] step cycle=3
[C++ DUT] step cycle=4
[MTRACE] valid wen=1 addr=0xa0000108 wdata=0x4e8040ef rdata=0x4e8040ef
[MTRACE] valid wen=0 addr=0x3000020c wdata=0x00000000 rdata=0x00092783
[MTRACE] valid wen=1 addr=0xa000010c wdata=0x00092783 rdata=0x00092783
[MTRACE] valid wen=0 addr=0x30000210 wdata=0x00000000 rdata=0x00a9a023
[MTRACE] valid wen=1 addr=0xa0000110 wdata=0x00a9a023 rdata=0x00a9a023
[MTRACE] valid wen=0 addr=0x30000214 wdata=0x00000000 rdata=0x04f05463
[MTRACE] valid wen=1 addr=0xa0000114 wdata=0x04f05463 rdata=0x04f05463
[MTRACE] valid wen=0 addr=0x30000218 wdata=0x00000000 rdata=0x00912a23
[MTRACE] valid wen=1 addr=0xa0000118 wdata=0x00912a23 rdata=0x00912a23
[MTRACE] valid wen=0 addr=0x3000021c wdata=0x00000000 rdata=0x00812c23
[MTRACE] valid wen=1 addr=0xa000011c wdata=0x00812c23 rdata=0x00812c23
[MTRACE] valid wen=0 addr=0x30000220 wdata=0x00000000 rdata=0x00000493
[MTRACE] valid wen=1 addr=0xa0000120 wdata=0x00000493 rdata=0x00000493
[MTRACE] valid wen=0 addr=0x30000224 wdata=0x00000000 rdata=0x584040ef
[MTRACE] valid wen=1 addr=0xa0000124 wdata=0x584040ef rdata=0x584040ef
[MTRACE] valid wen=0 addr=0x30000228 wdata=0x00000000 rdata=0x00050413
[MTRACE] valid wen=1 addr=0xa0000128 wdata=0x00050413 rdata=0x00050413
[MTRACE] valid wen=0 addr=0x3000022c wdata=0x00000000 rdata=0x57c040ef
[MTRACE] valid wen=1 addr=0xa000012c wdata=0x57c040ef rdata=0x57c040ef
[MTRACE] valid wen=0 addr=0x30000230 wdata=0x00000000 rdata=0x0009a783
[MTRACE] valid wen=1 addr=0xa0000130 wdata=0x0009a783 rdata=0x0009a783
[MTRACE] valid wen=0 addr=0x30000234 wdata=0x00000000 rdata=0x00249693
[MTRACE] valid wen=1 addr=0xa0000134 wdata=0x00249693 rdata=0x00249693
[MTRACE] valid wen=0 addr=0x30000238 wdata=0x00000000 rdata=0x01041413
[MTRACE] valid wen=1 addr=0xa0000138 wdata=0x01041413 rdata=0x01041413
[MTRACE] valid wen=0 addr=0x3000023c wdata=0x00000000 rdata=0x00092703
[MTRACE] valid wen=1 addr=0xa000013c wdata=0x00092703 rdata=0x00092703
[MTRACE] valid wen=0 addr=0x30000240 wdata=0x00000000 rdata=0x00a46433
[MTRACE] valid wen=1 addr=0xa0000140 wdata=0x00a46433 rdata=0x00a46433
[MTRACE] valid wen=0 addr=0x30000244 wdata=0x00000000 rdata=0x00d787b3
[MTRACE] valid wen=1 addr=0xa0000144 wdata=0x00d787b3 rdata=0x00d787b3
[MTRACE] valid wen=0 addr=0x30000248 wdata=0x00000000 rdata=0x0087a023
[MTRACE] valid wen=1 addr=0xa0000148 wdata=0x0087a023 rdata=0x0087a023
[MTRACE] valid wen=0 addr=0x3000024c wdata=0x00000000 rdata=0x00148493
[MTRACE] valid wen=1 addr=0xa000014c wdata=0x00148493 rdata=0x00148493
[MTRACE] valid wen=0 addr=0x30000250 wdata=0x00000000 rdata=0xfce4cae3
[MTRACE] valid wen=1 addr=0xa0000150 wdata=0xfce4cae3 rdata=0xfce4cae3
[MTRACE] valid wen=0 addr=0x30000254 wdata=0x00000000 rdata=0x01812403
[MTRACE] valid wen=1 addr=0xa0000154 wdata=0x01812403 rdata=0x01812403
[MTRACE] valid wen=0 addr=0x30000258 wdata=0x00000000 rdata=0x01412483
[MTRACE] valid wen=1 addr=0xa0000158 wdata=0x01412483 rdata=0x01412483
[MTRACE] valid wen=0 addr=0x3000025c wdata=0x00000000 rdata=0x01c12083
[MTRACE] valid wen=1 addr=0xa000015c wdata=0x01c12083 rdata=0x01c12083
[MTRACE] valid wen=0 addr=0x30000260 wdata=0x00000000 rdata=0x01012903
[MTRACE] valid wen=1 addr=0xa0000160 wdata=0x01012903 rdata=0x01012903
[MTRACE] valid wen=0 addr=0x30000264 wdata=0x00000000 rdata=0x00c12983
[MTRACE] valid wen=1 addr=0xa0000164 wdata=0x00c12983 rdata=0x00c12983
[MTRACE] valid wen=0 addr=0x30000268 wdata=0x00000000 rdata=0x02010113
[MTRACE] valid wen=1 addr=0xa0000168 wdata=0x02010113 rdata=0x02010113
[MTRACE] valid wen=0 addr=0x3000026c wdata=0x00000000 rdata=0x00008067
[MTRACE] valid wen=1 addr=0xa000016c wdata=0x00008067 rdata=0x00008067
[MTRACE] valid wen=0 addr=0x30000270 wdata=0x00000000 rdata=0x00007617
[MTRACE] valid wen=1 addr=0xa0000170 wdata=0x00007617 rdata=0x00007617
[MTRACE] valid wen=0 addr=0x30000274 wdata=0x00000000 rdata=0x01462603
[MTRACE] valid wen=1 addr=0xa0000174 wdata=0x01462603 rdata=0x01462603
[MTRACE] valid wen=0 addr=0x30000278 wdata=0x00000000 rdata=0x00007517
[MTRACE] valid wen=1 addr=0xa0000178 wdata=0x00007517 rdata=0x00007517
[MTRACE] valid wen=0 addr=0x3000027c wdata=0x00000000 rdata=0x00852503
[MTRACE] valid wen=1 addr=0xa000017c wdata=0x00852503 rdata=0x00852503
[MTRACE] valid wen=0 addr=0x30000280 wdata=0x00000000 rdata=0x00000593
[MTRACE] valid wen=1 addr=0xa0000180 wdata=0x00000593 rdata=0x00000593
[MTRACE] valid wen=0 addr=0x30000284 wdata=0x00000000 rdata=0xe7dff06f
[MTRACE] valid wen=1 addr=0xa0000184 wdata=0xe7dff06f rdata=0xe7dff06f
[MTRACE] valid wen=0 addr=0x30000288 wdata=0x00000000 rdata=0x00007597
[MTRACE] valid wen=1 addr=0xa0000188 wdata=0x00007597 rdata=0x00007597
[MTRACE] valid wen=0 addr=0x3000028c wdata=0x00000000 rdata=0xffc5a583
[MTRACE] valid wen=1 addr=0xa000018c wdata=0xffc5a583 rdata=0xffc5a583
[MTRACE] valid wen=0 addr=0x30000290 wdata=0x00000000 rdata=0x00007517
[MTRACE] valid wen=1 addr=0xa0000190 wdata=0x00007517 rdata=0x00007517
[MTRACE] valid wen=0 addr=0x30000294 wdata=0x00000000 rdata=0xff052503
