分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
32,2,8,4,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,64,2,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,64,4,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,64,1,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,32,4,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,32,2,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,32,1,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,16,4,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,16,2,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,4,1,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,4,2,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,4,4,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,16,1,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,2,8,1,BTFN+SharedJal,276831713,228509143,48322570,82.54,244368073,198158499,81.09,32463640,30350644,93.49
32,1,64,1,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,64,2,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,64,4,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
