record_type,step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,mem_access,mem_width,pa_shifted,va_raw,value
STEP,53,0x00000158,0x004181b3,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,53,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000056,0x00000158,0x004181b3
STEP,54,0x0000015c,0xfe312223,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,54,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000057,0x0000015c,0xfe312223
MEM,54,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f1,0x00051fc4,0x00000000
STEP,55,0x00000160,0xfee14183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,55,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000058,0x00000160,0xfee14183
MEM,55,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f3,0x00051fce,0x00000000
STEP,56,0x00000164,0xfeb14203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,56,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000059,0x00000164,0xfeb14203
MEM,56,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f2,0x00051fcb,0x00000000
STEP,57,0x00000168,0x004181b3,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,57,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005a,0x00000168,0x004181b3
STEP,58,0x0000016c,0xfe3102a3,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,58,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005b,0x0000016c,0xfe3102a3
MEM,58,,,,,,,,,,,,,,,,,,,WRITE,BYTE,0x000147f1,0x00051fc5,0x00000000
STEP,59,0x00000170,0xfef14183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,59,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005c,0x00000170,0xfef14183
MEM,59,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f3,0x00051fcf,0x00000000
STEP,60,0x00000174,0xfe310323,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,60,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005d,0x00000174,0xfe310323
MEM,60,,,,,,,,,,,,,,,,,,,WRITE,BYTE,0x000147f1,0x00051fc6,0x00000000
STEP,61,0x00000178,0xfe412183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,61,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005e,0x00000178,0xfe412183
MEM,61,,,,,,,,,,,,,,,,,,,READ,WORD,0x000147f1,0x00051fc4,0x00000000
STEP,62,0x0000017c,0x00008237,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,62,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000005f,0x0000017c,0x00008237
STEP,63,0x00000180,0x00020213,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,63,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000060,0x00000180,0x00020213
STEP,64,0x00000184,0x00440433,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00008000,0x00000000,0x00000000,0x00000000,0x00045600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,64,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000061,0x00000184,0x00440433
STEP,65,0x00000188,0xff314203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00045600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,65,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000062,0x00000188,0xff314203
MEM,65,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f4,0x00051fd3,0x00000000
